Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,stateNumber,stateTime,posENU.x,posENU.y,posENU.z,rpyDeg.x,rpyDeg.y,rpyDeg.z,desiredPoint.x,desiredPoint.y,desiredPoint.z,desiredYawDeg
2023,12,11,15,46,52,299,0.980542,0,0,0.980623,7.42263,17.6615,0.000733788,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,319,1.00057,0,0,1.00065,7.39587,17.6699,0.000626686,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,339,1.02055,0,0,1.02064,7.39587,17.6699,0.000626686,-0.744845,0.515662,171.544,0,0,0,1.39066e-309
2023,12,11,15,46,52,359,1.04054,0,0,1.0406,7.38392,17.6808,0.000495125,-0.744845,0.515662,171.486,0,0,0,1.39066e-309
2023,12,11,15,46,52,379,1.06054,0,0,1.06061,7.38392,17.6808,0.000495125,-0.744845,0.515662,171.486,0,0,0,1.39066e-309
2023,12,11,15,46,52,399,1.08054,0,0,1.08059,7.39588,17.6924,0.000525844,-0.744845,0.515662,171.486,0,0,0,1.39066e-309
2023,12,11,15,46,52,419,1.10054,0,0,1.1006,7.39588,17.6924,0.000525844,-0.744845,0.515662,171.486,0,0,0,1.39066e-309
2023,12,11,15,46,52,439,1.12053,0,0,1.12059,7.37862,17.6959,0.000473446,-0.744845,0.515662,171.486,0,0,0,1.39066e-309
2023,12,11,15,46,52,459,1.14054,0,0,1.14061,7.37862,17.6959,0.000473446,-0.744845,0.515662,171.486,0,0,0,1.39066e-309
2023,12,11,15,46,52,479,1.16054,0,0,1.16059,7.37862,17.6959,0.000473446,-0.744845,0.515662,171.486,0,0,0,1.39066e-309
2023,12,11,15,46,52,499,1.18054,0,0,1.18062,7.37387,17.7037,0.000481782,-0.744845,0.515662,171.486,0,0,0,1.39066e-309
2023,12,11,15,46,52,519,1.20054,0,0,1.2006,7.37447,17.6988,0.000496458,-0.744845,0.515662,171.486,0,0,0,1.39066e-309
2023,12,11,15,46,52,539,1.22054,0,0,1.22062,7.37447,17.6988,0.000496458,-0.744845,0.515662,171.486,0,0,0,1.39066e-309
2023,12,11,15,46,52,559,1.24054,0,0,1.24061,7.39207,17.7027,0.000552739,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,579,1.26054,0,0,1.26061,7.39207,17.7027,0.000552739,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,599,1.28054,0,0,1.28061,7.39207,17.7027,0.000552739,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,619,1.30054,0,0,1.30061,7.3893,17.703,0.000517296,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,639,1.32054,0,0,1.32059,7.3893,17.703,0.000517296,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,659,1.34054,0,0,1.34062,7.39632,17.695,0.000575642,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,679,1.36055,0,0,1.36064,7.39632,17.695,0.000575642,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,699,1.38055,0,0,1.38061,7.38917,17.6942,0.00053726,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,719,1.40054,0,0,1.4006,7.38917,17.6942,0.00053726,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,739,1.42054,0,0,1.42064,7.4031,17.6831,0.000606191,-0.744845,0.515662,171.486,0,0,0,1.39066e-309
2023,12,11,15,46,52,759,1.44054,0,0,1.4406,7.4031,17.6831,0.000606191,-0.744845,0.515662,171.486,0,0,0,1.39066e-309
2023,12,11,15,46,52,780,1.46055,0,0,1.46074,7.37322,17.694,0.000504684,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,799,1.48054,0,0,1.48062,7.37009,17.697,0.000502352,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,819,1.50054,0,0,1.50062,7.37193,17.6971,0.000516194,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,839,1.52056,0,0,1.52068,7.37193,17.6971,0.000516194,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,860,1.54056,0,0,1.54068,7.37895,17.6951,0.000541871,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,879,1.56055,0,0,1.5606,7.37895,17.6951,0.000541871,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,899,1.58054,0,0,1.58062,7.37294,17.6918,0.000568115,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,919,1.60054,0,0,1.60062,7.37294,17.6918,0.000568115,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,939,1.62055,0,0,1.62063,7.37294,17.6918,0.000568115,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,959,1.64054,0,0,1.64064,7.38839,17.6838,0.000668745,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,52,979,1.66055,0,0,1.66064,7.38839,17.6838,0.000668745,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,000,1.68054,0,0,1.68073,7.3795,17.6938,0.000710218,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,019,1.70054,0,0,1.70063,7.3795,17.6938,0.000710218,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,039,1.72055,0,0,1.72072,7.37033,17.698,0.000688096,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,059,1.74055,0,0,1.74062,7.37033,17.698,0.000688096,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,079,1.76054,0,0,1.76061,7.39312,17.7063,0.000740562,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,100,1.78055,0,0,1.78071,7.39312,17.7063,0.000740562,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,119,1.80055,0,0,1.80066,7.37398,17.7101,0.000688627,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,139,1.82055,0,0,1.82062,7.36512,17.7155,0.000686503,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,159,1.84059,0,0,1.84066,7.36311,17.7161,0.000668996,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,180,1.86055,0,0,1.86067,7.36311,17.7161,0.000668996,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,200,1.8806,0,0,1.8809,7.36302,17.7199,0.000670817,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,220,1.90055,0,0,1.90067,7.36302,17.7199,0.000670817,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,239,1.92054,0,0,1.92059,7.36302,17.7199,0.000670817,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,259,1.94058,0,0,1.94066,7.36828,17.7243,0.000621354,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,279,1.96054,0,0,1.9606,7.36828,17.7243,0.000621354,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,299,1.98055,0,0,1.98062,7.35761,17.7104,0.000563962,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,319,2.00054,0,0,2.00061,7.35761,17.7104,0.000563962,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,340,2.02061,0,0,2.0208,7.3344,17.7088,0.000439798,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,359,2.04054,0,0,2.04063,7.3344,17.7088,0.000439798,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,379,2.06064,0,0,2.0607,7.34371,17.7157,0.000492404,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,400,2.08056,0,0,2.0807,7.34623,17.709,0.000479247,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,420,2.10061,0,0,2.1007,7.34416,17.7066,0.000470799,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
2023,12,11,15,46,53,439,2.12054,0,0,2.12061,7.34416,17.7066,0.000470799,-0.744845,0.515662,171.429,0,0,0,1.39066e-309
