Year,Month,Day,Hour,Minute,Second,Millisecond,taskTime,state,stateNumber,posENU.x,posENU.y,posENU.z,rpyDeg.x,rpyDeg.y,rpyDeg.z,desiredPoint.x,desiredPoint.y,desiredPoint.z,desiredYawDeg
2023,12,07,16,39,42,407,1.30055,0,0,10.4795,9.55569,0.00575301,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,427,1.32055,0,0,10.4714,9.55578,0.00574131,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,448,1.34055,0,0,10.4714,9.55578,0.00574131,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,467,1.36055,0,0,10.462,9.56206,0.00573355,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,488,1.38055,0,0,10.462,9.56206,0.00573355,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,508,1.40055,0,0,10.4665,9.55098,0.00571477,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,528,1.42055,0,0,10.4665,9.55098,0.00571477,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,548,1.44058,0,0,10.4674,9.55423,0.00573155,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,567,1.46055,0,0,10.4674,9.55423,0.00573155,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,588,1.48055,0,0,10.4674,9.55423,0.00573155,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,608,1.50056,0,0,10.4648,9.55667,0.00567345,-0.229183,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,628,1.52058,0,0,10.4648,9.55667,0.00567345,-0.286479,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,648,1.54055,0,0,10.477,9.55657,0.00566877,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,668,1.5606,0,0,10.4737,9.56206,0.00569474,-0.286479,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,688,1.58055,0,0,10.4737,9.56206,0.00569474,-0.286479,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,707,1.60055,0,0,10.4737,9.56206,0.00569474,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,727,1.62054,0,0,10.4682,9.5651,0.00571234,-0.286479,-0.114592,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,748,1.64056,0,0,10.4682,9.5651,0.00571234,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,767,1.66054,0,0,10.473,9.56475,0.00573817,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,787,1.68054,0,0,10.473,9.56475,0.00573817,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,808,1.70058,0,0,10.4617,9.56785,0.00571354,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,828,1.72055,0,0,10.4617,9.56785,0.00571354,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,848,1.74055,0,0,10.4617,9.56785,0.00571354,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,867,1.76054,0,0,10.4349,9.62798,0.00533206,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,888,1.78055,0,0,10.4349,9.62798,0.00533206,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,907,1.80054,0,0,10.4501,9.60284,0.00547735,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,927,1.82054,0,0,10.4517,9.59336,0.00549941,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
2023,12,07,16,39,42,947,1.84055,0,0,10.4517,9.59336,0.00549941,-0.286479,-0.0572958,180.31,0,0,0,1.39067e-309
